,randomx,progpow,cuckatoo,height,timestamp
0,8011291,9037182434,12444,938550,1622429160
0,8011291,9066042644,12444,938551,1622429218
0,8003221,9066042644,12444,938552,1622429261
0,8003221,9010734961,12444,938553,1622429481
0,7985636,9010734961,12444,938554,1622429509
0,7991360,9010734961,12444,938555,1622429679
0,7991360,9029988686,12444,938556,1622429701
0,8079344,9029988686,12444,938557,1622429722
0,8079344,8870692124,12444,938558,1622429744
0,8132411,8870692124,12444,938559,1622429771
0,8185534,8870692124,12444,938560,1622429796
0,8185534,8892041799,12444,938561,1622429845
0,8207625,8892041799,12444,938562,1622430131
0,8207625,8884380161,12444,938563,1622430262
0,8303630,8884380161,12444,938564,1622430485
0,8237686,8884380161,12444,938565,1622430491
0,8237686,8730552156,12444,938566,1622430531
0,8141672,8730552156,12444,938567,1622430561
0,8141672,8730552156,12653,938568,1622430607
0,8159295,8730552156,12653,938569,1622430625
0,8159295,8790402896,12653,938570,1622430632
0,8242522,8790402896,12653,938571,1622430653
0,8242522,8911843040,12653,938572,1622430821
0,8305642,8911843040,12653,938573,1622430931
0,8208915,8911843040,12653,938574,1622430958
0,8208915,8985794814,12653,938575,1622431031
0,8150947,8985794814,12653,938576,1622431123
0,8115816,8985794814,12653,938577,1622431175
0,8115816,8976451361,12653,938578,1622431178
0,8066550,8976451361,12653,938579,1622431184
0,8066550,9036824109,12653,938580,1622431294
0,8094690,9036824109,12653,938581,1622431443
0,8035647,9036824109,12653,938582,1622431453
0,8035647,9177356452,12653,938583,1622431520
0,7954424,9177356452,12653,938584,1622431584
0,7954424,9167138927,12653,938585,1622431611
0,7931980,9167138927,12653,938586,1622431624
0,7975734,9167138927,12653,938587,1622431657
0,7975734,9135958447,12653,938588,1622431709
0,7974090,9135958447,12653,938589,1622431743
0,7974090,9109759680,12653,938590,1622431785
0,7959249,9109759680,12653,938591,1622431807
0,7939909,9109759680,12653,938592,1622431810
0,7939909,9077356471,12653,938593,1622431862
0,7931325,9077356471,12653,938594,1622432070
0,7897807,9077356471,12653,938595,1622432092
0,7897807,9056749840,12653,938596,1622432238
0,7783264,9056749840,12653,938597,1622432268
0,7783264,9064675238,12653,938598,1622432311
0,7708942,9064675238,12653,938599,1622432403
0,7722395,9064675238,12653,938600,1622432403
0,7722395,9021159855,12653,938601,1622432582
0,7667058,9021159855,12653,938602,1622432592
0,7667058,9059915064,12653,938603,1622432698
0,7572854,9059915064,12653,938604,1622432772
0,7623942,9059915064,12653,938605,1622432839
0,7623942,9048109672,12653,938606,1622432872
0,7684925,9048109672,12653,938607,1622432878
0,7684925,9087479249,12653,938608,1622432882
0,7707885,9087479249,12653,938609,1622432985
0,7717436,9087479249,12653,938610,1622433004
0,7717436,9210158413,12653,938611,1622433031
0,7655375,9210158413,12653,938612,1622433092
0,7655375,9202757419,12653,938613,1622433306
0,7662184,9202757419,12653,938614,1622433345
0,7633960,9202757419,12653,938615,1622433367
0,7633960,9151141330,12653,938616,1622433431
0,7611169,9151141330,12653,938617,1622433474
0,7611169,9151141330,12753,938618,1622433489
0,7569400,9151141330,12753,938619,1622433587
0,7569400,9123725400,12753,938620,1622433672
0,7579238,9123725400,12753,938621,1622433721
0,7579238,9035695020,12753,938622,1622433739
0,7685426,9035695020,12753,938623,1622433773
0,7672430,9035695020,12753,938624,1622433788
0,7672430,9075502161,12753,938625,1622433962
0,7668492,9075502161,12753,938626,1622434002
0,7620533,9075502161,12753,938627,1622434014
0,7620533,9094003519,12753,938628,1622434021
0,7606344,9094003519,12753,938629,1622434066
0,7606344,9164099104,12753,938630,1622434182
0,7601029,9164099104,12753,938631,1622434265
0,7543103,9164099104,12753,938632,1622434310
0,7543103,9214279527,12753,938633,1622434353
0,7514753,9214279527,12753,938634,1622434396
0,7514753,9187112690,12753,938635,1622434411
0,7478564,9187112690,12753,938636,1622434436
0,7494354,9187112690,12753,938637,1622434458
0,7494354,9177159471,12753,938638,1622434468
0,7522989,9177159471,12753,938639,1622434635
0,7522989,9267742054,12753,938640,1622434669
0,7514884,9267742054,12753,938641,1622434763
0,7576377,9267742054,12753,938642,1622434818
0,7576377,9180199203,12753,938643,1622434843
0,7553649,9180199203,12753,938644,1622434885
0,7573821,9180199203,12753,938645,1622434934
0,7573821,9299509678,12753,938646,1622434980
0,7577220,9299509678,12753,938647,1622435020
0,7577220,9261376722,12753,938648,1622435041
0,7548724,9261376722,12753,938649,1622435050
0,7544180,9261376722,12753,938650,1622435102
0,7544180,9235334223,12753,938651,1622435124
0,7540716,9235334223,12753,938652,1622435154
0,7540716,9206017952,12753,938653,1622435209
0,7545407,9206017952,12753,938654,1622435246
0,7642852,9206017952,12753,938655,1622435279
0,7642852,9204961573,12753,938656,1622435362
0,7612330,9204961573,12753,938657,1622435395
0,7612330,9183386919,12753,938658,1622435420
0,7551528,9183386919,12753,938659,1622435444
0,7540120,9183386919,12753,938660,1622435530
0,7540120,9355362812,12753,938661,1622435694
0,7529701,9355362812,12753,938662,1622435792
0,7529701,9308093420,12753,938663,1622435856
0,7436728,9308093420,12753,938664,1622435862
0,7476604,9308093420,12753,938665,1622435996
0,7476604,9326297475,12753,938666,1622436054
0,7605010,9326297475,12753,938667,1622436067
0,7605010,9326297475,12835,938668,1622436158
0,7581724,9326297475,12835,938669,1622436174
0,7581724,9222966994,12835,938670,1622436241
0,7537355,9222966994,12835,938671,1622436326
0,7537355,9282266110,12835,938672,1622436332
0,7495375,9282266110,12835,938673,1622436375
0,7586785,9282266110,12835,938674,1622436433
0,7586785,9234040379,12835,938675,1622436442
0,7630916,9234040379,12835,938676,1622436580
0,7664605,9234040379,12835,938677,1622436644
0,7664605,9203808809,12835,938678,1622436714
0,7638019,9203808809,12835,938679,1622436735
0,7638019,9144452676,12835,938680,1622436796
0,7586806,9144452676,12835,938681,1622436839
0,7609831,9144452676,12835,938682,1622436867
0,7609831,9161078015,12835,938683,1622436885
0,7670596,9161078015,12835,938684,1622436952
0,7670596,9252326896,12835,938685,1622437034
0,7706670,9252326896,12835,938686,1622437190
0,7655677,9252326896,12835,938687,1622437214
0,7655677,9311042544,12835,938688,1622437300
0,7551465,9311042544,12835,938689,1622437455
0,7551465,9322595820,12835,938690,1622437477
0,7509393,9322595820,12835,938691,1622437513
0,7516405,9322595820,12835,938692,1622437532
0,7516405,9252621019,12835,938693,1622437538
0,7495052,9252621019,12835,938694,1622437617
0,7522888,9252621019,12835,938695,1622437633
0,7522888,9242550491,12835,938696,1622437795
0,7598179,9242550491,12835,938697,1622437816
0,7598179,9468894499,12835,938698,1622437822
0,7588765,9468894499,12835,938699,1622437831
0,7605772,9468894499,12835,938700,1622437868
0,7605772,9497812616,12835,938701,1622438008
0,7672173,9497812616,12835,938702,1622438139
0,7672173,9508401301,12835,938703,1622438167
0,7687374,9508401301,12835,938704,1622438244
0,7768016,9508401301,12835,938705,1622438311
0,7768016,9462023523,12835,938706,1622438348
0,7741857,9462023523,12835,938707,1622438375
0,7741857,9463909341,12835,938708,1622438491
0,7745019,9463909341,12835,938709,1622438494
0,7656695,9463909341,12835,938710,1622438504
0,7656695,9594764134,12835,938711,1622438595
0,7724917,9594764134,12835,938712,1622438616
0,7724917,9658351690,12835,938713,1622438741
0,7667582,9658351690,12835,938714,1622438766
0,7734933,9658351690,12835,938715,1622438803
0,7734933,9842152429,12835,938716,1622438833
0,7749805,9842152429,12835,938717,1622438855
0,7749805,9842152429,12949,938718,1622438952
0,7769781,9842152429,12949,938719,1622438962
0,7769781,9856575015,12949,938720,1622439068
0,7705337,9856575015,12949,938721,1622439084
0,7705337,9897376147,12949,938722,1622439117
0,7692304,9897376147,12949,938723,1622439142
0,7675163,9897376147,12949,938724,1622439261
0,7675163,10195424127,12949,938725,1622439340
0,7696793,10195424127,12949,938726,1622439411
0,7778202,10195424127,12949,938727,1622439451
